          К содержанию,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 2016-2023 гг.1)2) (в текущих ценах; миллионов рублей),,,,,,,,
,2016,2017,2018,2019,2020,2021,20222),20232)
Алтайский край,532401.5,545303,579740.5,628146.1,664129.2,869672.1,929614.2,1024355.4
Красноярский край,1821899.9,1977016.1,2374749.9,2696158.9,2725096.7,3122115.3,3314866.6,3719646.8
Иркутская область,1139206.8,1268311.7,1460512.2,1540237.8,1494326.6,1972480.5,2347579.8,2539383.9
Кемеровская область-Кузбасс,903348.9,1097861,1266424.5,1110194.8,1045077.1,1823647.7,2170130.3,1883825.1
Новосибирская область,1074794.7,1179564.2,1301631.1,1332895.8,1358350.1,1628844.4,1927143.6,2216436.2
Омская область,669480.4,699716.5,736076.8,772095.9,770280.4,796044.1,926750.2,1056600.3
Томская область,521043.5,554393.9,612431.7,617903.6,553211.6,723226.5,813183.4,912449.4
Дальневосточный федеральный округ,4481568,4679280.8,5597118,5970632.3,6037509.3,7593744.8,8834141.4,10128773.4
Республика Бурятия,220764.6,224594.1,258578.6,285490.6,302800.4,356150.2,447267.3,503918.8
Республика Саха (Якутия),889449.3,942029.6,1126774.7,1227680.3,1133688.2,1672273.8,2009286.6,2229816.5
Забайкальский край,279140.7,306596.5,339838.9,369476.5,422734.5,516630.1,561679.6,718358.3
Камчатский край,224091,228167.2,263151.3,279337.8,296429.4,351233.7,357461.7,440147.3
Приморский край,860803.6,906265,965485.2,1069330.7,1105672.6,1354099.5,1575745.3,1862934.3
Хабаровский край,672660.4,697951,761589.2,805215.6,856904.8,1017795.1,1065100.8,1262368.1
Амурская область,297531,299181,334164.4,395617.2,449317.5,548269.8,603562.5,793851.9
Магаданская область,153879.8,161851.2,176370.6,214414.9,285146,320159.6,315361.1,403892.8
Сахалинская область,762510.3,784503.4,1233164.7,1172226.1,1001689.4,1237949.8,1672496.2,1624560.7
Еврейская автономная область,48563.2,55268,54577.8,56847.6,63177.1,79156.9,81120.5,102215.3
Чукотский автономный округ,72174.1,72873.8,83422.6,94995,119949.4,140026.3,145059.8,186709.4
"1) Данные динамического ряда, начиная с 2016 года, содержат изменения, связанные с внедрением международной методологии оценки жилищных услуг, производимых и потребляемых собственниками жилья; оценкой потребления основного капитала, исходя из его текущей рыночной стоимости.",,,,,,,,
"2) Без учета статистической информации по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям.",,,,,,,,
