К содержанию,,,,,,,,,,,,,,,,,,
Валовой региональный продукт по субъектам Российской Федерации в 1998-2015 гг. (в текущих ценах; миллионов рублей),,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Карачаево-Черкесская Республика,2817.3,4207.9,5461.5,7324.8,10234.5,11481.1,13127.2,16724.3,23260.1,27469.7,35714.2,38584.1,43651.5,49252.1,58712.1,66106.6,65326.6,67482.7
Республика Северная Осетия-Алания,3909.6,6774.5,8363.2,12665.3,15997.5,18925.2,24268,31182.2,43341.2,52804.8,57707.4,64081.4,75327.4,85876.7,97448.8,118637.5,125960.5,126051.2
Чеченская Республика,…,…,…,…,…,…,…,22898.9,32344.4,48056.1,66273.8,64308.3,70694.9,86623,102289.1,122402.8,148942.1,154401.4
Ставропольский край,28279.8,38385.6,53732.4,67860.4,80534.5,101382.6,122235.4,146569.3,181675.1,222239.6,274992,277251,330790.8,396791.6,431753.4,480905.3,540796.8,621198.3
Приволжский федеральный округ,429881.8,705441.5,1036789,1292756.5,1483309.6,1807987.0,2284895.8,2799035.9,3513341.6,4330427.6,5324051.1,4922531.5,5709469.8,7050735.5,7864342.2,8474685,9185550,10068677.1
Республика Башкортостан,56529,97653.6,145125,166974.8,187842.2,242920.5,310845.1,381646.5,505205.8,590054.1,743133.4,647911.7,759203.3,941023.6,1149384.6,1163219,1260010.4,1316598.3
Республика Марий Эл,6108.1,9222.6,11207.6,15087.8,17815.3,22987.3,30085.6,33350.7,43663.7,55069.2,65765.3,69271.5,82374.4,97323.3,117201.1,125950.2,143396.1,171689.5
Республика Мордовия,8347.2,12160.6,17553.4,22089.5,27508,33244,38334.9,44267,57974.2,77048.8,94058.3,90862.4,105343.8,119955.2,134315.6,148705.7,173872.7,180352.3
Республика Татарстан,65727.8,108354.9,186154.4,213740,250596,305086.1,391116,482759.2,605911.5,757401.4,926056.7,885064,1001622.8,1305947,1437001,1551472.1,1661413.8,1867258.7
Удмуртская Республика,18923.4,34596,53307.4,65551.4,78346.3,89034.5,100833.1,139995.3,164848.5,205647.4,243135.5,230938.3,274578.1,335984,372782.7,405126.4,450548.9,517999.8
Чувашская Республика,11152.5,16582.3,22995.1,30778.5,37180.6,45133.1,59573.8,69391.6,93172,123453.3,155032.3,139909.5,157704.6,188785.7,217821.1,223147.9,237447.2,251307
Пермский край,52127.6,87331.7,124142.2,166803.4,178091,209275.7,266325.9,327273.3,383770.1,477794.2,607362.7,539831.5,623116.8,840101.1,860342.7,880264.4,974192.9,1063780.3
Кировская область,15717.5,25236.7,35795.4,41699,49974.2,57795.8,70706.2,79800.6,97047.1,118154.9,151116.7,146321.3,172352,195269.5,208505.4,224152.3,254089.4,282191
Нижегородская область,47409.5,72132,105055.9,149322.6,170826.5,206926,241230.4,299723.7,376180.3,473307.4,588790.8,547223,652805.9,770774,842195.5,925182,1009460.1,1104643.2
Оренбургская область,27271.2,51582.1,76343.3,85168.3,94182.5,115824.6,169876.7,213138.2,302808.4,370880.9,430023.1,413395.5,458145.4,553320.9,628563.6,717014.8,731277.7,774962.1
Пензенская область,10545.5,17825.2,25218.7,33262.6,41623.4,48111.5,59711.7,74362.7,88805,119104,147853.2,147185.1,172166.7,213401.2,239962.5,270436.8,295238.7,343328.6
Самарская область,67519.9,105581.3,140407.4,180049.3,206320.2,256554.6,327118.5,401812.2,487713.5,584968.6,699295.6,583999.9,695651.2,834149.3,937434.5,1048545.8,1149147.8,1264910.3
Саратовская область,27716.1,43799.6,63068.2,83665.7,97326.4,119909,151636.9,170930.5,204291.2,252867.2,321747.2,326370.4,376169.4,431028,478275.8,526178.9,566646.1,625176.9
Ульяновская область,14786.5,23382.9,30415,38563.6,45677,55184.3,67501,80584.4,101950.3,124676.2,150680.3,154247.4,178235.4,223672.7,240556.1,265288.7,278808.2,304479.1
Уральский федеральный округ,315745.6,522489.9,866133.4,1120819.8,1335976,1659322.1,2234753.0,3091362.9,3720616.2,4236325.3,4815668,4360451.2,5118918.4,6314341.2,7098364.3,7568240.1,8119343.3,9063071.8
Курганская область,9466.4,14770.6,18705.2,25379.6,29940.8,37046.2,42470.6,50245.8,68434.5,81076,106223.2,107914.5,117879.5,136325.1,146045.5,167037.9,170310.3,179436.3
Свердловская область,73056,112407,156077,199859.1,234866.4,284576.3,364368.8,475575.5,653908.3,820792.5,923550.8,825267.4,1046600.1,1291019.1,1484879,1568655.2,1659783.9,1822835
Тюменская область,188611.3,316194.7,570790.2,753119.2,898722.4,1117514.4,1536733.7,2215584.4,2551355.4,2758813.1,3121401.3,2870284,3301573.3,4112596,4625467.5,4950207.4,5295348.5,5851557.8
в т.ч. Ханты-Мансийский автономный округ-Югра,…,…,403822.2,497981.4,552483.5,717219.7,956196.5,1399335.9,1594097.1,1728340.2,1937159.1,1778637.1,1971870.5,2440432.6,2703558.8,2729122.4,2860498.9,3154058.7
Ямало-Ненецкий автономный округ,…,…,117100.8,184315.9,262447.4,283181.2,355718.4,441721.8,546365.8,594678.6,719397,649640,782214.9,966110.4,1191271.9,1375878.8,1633382.2,1791825.6
Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа),…,…,…,…,…,…,…,…,…,…,…,…,…,706053,730636.8,845206.2,801467.4,905673.5
Челябинская область,44611.9,79117.6,120561,142461.9,172446.4,220185.2,291179.9,349957.2,446918,575643.7,664492.7,556985.3,652865.5,774401,841972.3,882339.6,993900.6,1209242.7
